fold_idx,n_val_episodes,n_test_episodes,test_pr_auc,test_cls2_pr_auc,test_episode_cls2_pr_auc,test_macro_pc_pr_auc
0,664,667,0.9929891037553771,0.4590813054145611,,0.8511232628712729
1,667,664,0.946871141749113,0.34950342875617135,,0.645205912950978
