number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
20,0.9615828524319868,2026-04-09 00:48:17.511484,2026-04-09 00:48:19.936733,0 days 00:00:02.425249,0.8315850465196303,0.08119129894225903,65,449,34,5.330906283097616,6.282849832602017,0.9625391552517678,COMPLETE
21,0.9678793838085874,2026-04-09 00:48:18.670910,2026-04-09 00:48:20.934170,0 days 00:00:02.263260,0.8557580844001215,0.06223146670604493,10,390,32,7.989780686635595,6.344713315617907,0.9218128699423164,COMPLETE
22,0.9713352388730094,2026-04-09 00:48:19.938740,2026-04-09 00:48:22.229343,0 days 00:00:02.290603,0.7048052151554821,0.09134233484624991,26,391,48,5.902252290554986,8.452372857585296,0.9339221275853994,COMPLETE
23,0.9715871979098628,2026-04-09 00:48:20.934170,2026-04-09 00:48:23.031644,0 days 00:00:02.097474,0.7055199885813358,0.09183856754166829,24,390,50,5.751786873337895,8.589455914090774,0.9442758093777719,COMPLETE
24,0.97125122508984,2026-04-09 00:48:22.234027,2026-04-09 00:48:24.495034,0 days 00:00:02.261007,0.7290043594398379,0.08652617336400059,27,420,49,6.863215900881363,7.793735384753319,0.9517032350761583,COMPLETE
25,0.9717551020408164,2026-04-09 00:48:23.035903,2026-04-09 00:48:25.072320,0 days 00:00:02.036417,0.7331248971872883,0.09553581166300497,17,330,50,6.779839708692238,9.190504996896317,0.9009302034878963,COMPLETE
26,0.970746854061121,2026-04-09 00:48:24.495034,2026-04-09 00:48:26.628458,0 days 00:00:02.133424,0.7536222725404934,0.09426189781124403,17,340,51,3.579579437854149,9.099448077033465,0.9067672934330009,COMPLETE
27,0.9721746226030191,2026-04-09 00:48:25.074101,2026-04-09 00:48:26.938209,0 days 00:00:01.864108,0.7519434343898236,0.09460086541724357,19,333,59,8.54795822940979,8.860707744710924,0.9077139032366548,COMPLETE
28,0.9719229513548808,2026-04-09 00:48:26.628458,2026-04-09 00:48:28.084337,0 days 00:00:01.455879,0.7264892594897331,0.09374735739616655,33,255,59,8.80512140034672,2.8140213892158066,0.8993629087330542,COMPLETE
29,0.9672023614299771,2026-04-09 00:48:26.941108,2026-04-09 00:48:28.464416,0 days 00:00:01.523308,0.8126128611488403,0.09582978716469638,37,254,59,8.89609554495127,2.613573273335593,0.8625884225141357,COMPLETE
