fold_idx,n_val_episodes,n_test_episodes,test_pr_auc,test_cls2_pr_auc,test_episode_cls2_pr_auc,test_macro_pc_pr_auc
0,664,667,0.9936763977626318,0.5073385829366509,0.09590413370498714,0.8660597082312566
1,667,664,0.9532492820846752,0.4302618883317004,0.07645082035835146,0.812082281155653
