fold_idx,n_val_episodes,n_test_episodes,test_pr_auc,test_cls2_pr_auc,test_episode_cls2_pr_auc,test_macro_pc_pr_auc
0,664,667,0.9937555516924104,0.864229283677831,,0.9637979358325739
1,667,664,0.9801034043470388,0.9073842009875939,,0.9658166032273134
