fold_idx,n_train_rows,n_test_rows,n_test_episodes,test_episodes_per_class,f1_macro,f1_weighted,balanced_accuracy
0,138026,68679,355,"{'1.0': 4, '2.0': 9, '3.0': 9, '4.0': 333}",0.9726959167924023,0.9952668083562706,0.9770603505188293
1,137348,69357,346,"{'1.0': 4, '2.0': 4, '3.0': 4, '4.0': 334}",0.6525045927334936,0.9228293597458286,0.600016512340292
2,138036,68669,356,"{'1.0': 7, '2.0': 6, '3.0': 10, '4.0': 333}",0.995844568547293,0.998983099332608,0.9988494570028043
