fold_idx,n_val_episodes,n_test_episodes,test_pr_auc,test_cls2_pr_auc,test_episode_cls2_pr_auc,test_macro_pc_pr_auc
0,664,667,0.9937257199197409,0.48715314111091257,0.09094541238072178,0.8609992524991861
1,667,664,0.9503833188438546,0.4108909740025282,0.07271029784700796,0.7968110074872105
